@relation 'dataset_tajo_m2-weka.filters.unsupervised.attribute.MathExpression-Elog(A + 1) / log(10)-R22'

@attribute LOC numeric
@attribute NSMELLS numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute CHURN numeric
@attribute AVG_CHURN numeric
@attribute NR numeric
@attribute NFIX numeric
@attribute FIX_RATE numeric
@attribute NAUTH numeric
@attribute AVG_CHANGE_SET numeric
@attribute MAX_CHANGE_SET numeric
@attribute AVG_ND numeric
@attribute AGE_LAST_CHANGE numeric
@attribute MIN_EXP numeric
@attribute NUM_METHODS numeric
@attribute DIT numeric
@attribute RFC numeric
@attribute FAN_IN numeric
@attribute FAN_OUT numeric
@attribute CC numeric
@attribute BUGGY {no,yes}

@data
2.1959,0.778151,2.654177,2.380211,2.840733,1.768416,1.113943,0.30103,0.033424,0.60206,2.43417,2.951823,1.772102,1.380211,2.103804,1.342423,0.30103,1.531479,0.477121,1.079181,1.579784,no
1.633468,0.477121,1.991226,1.732394,2.120574,1.434569,0.778151,0,0,0.477121,2.708591,2.951823,2.026125,1.672098,2.103804,0.30103,0.30103,0.90309,0.30103,1.20412,1.20412,no
2.064458,0.90309,2.294466,2.130334,2.365488,1.531479,0.90309,0.30103,0.056905,0.477121,2.571045,2.951823,1.912275,1.380211,2.103804,1.322219,0.30103,1.462398,0.90309,1.20412,1.462398,no
2.173186,0.69897,2.592177,2.225309,2.764176,1.498724,1.30103,0.477121,0.045323,0.778151,2.288853,2.951823,1.640283,1.380211,1.255273,1.322219,0.30103,1.50515,0.845098,1.146128,1.612784,no
1.431364,0.30103,1.851258,1.591065,1.954243,1.137037,0.90309,0.30103,0.056905,0.477121,2.645422,2.951823,1.960423,1.380211,2.103804,0.30103,0.30103,0.845098,0,0.90309,0.60206,no
2.699838,1.380211,2.879669,2.672098,2.957607,1.588272,1.39794,0.477121,0.033424,0.69897,2.177306,2.951823,1.608312,0.30103,1.041393,1.079181,0.477121,1.50515,0.30103,1.230449,1.278754,no
1.447158,0,1.90309,1.740363,2,1.318063,0.778151,0,0,0.477121,2.662569,2.951823,1.985875,1.361728,2.103804,0.69897,0.477121,0.778151,0,0.778151,0.69897,no
1.380211,0,1.819544,1.70757,1.913814,1.235528,0.778151,0,0,0.477121,2.671913,2.951823,2.004321,1.857332,2.103804,0.778151,0.30103,0.60206,0,0.69897,0.778151,no
2.808211,1.724276,2.925828,2.868644,2.960946,2.185174,0.845098,0.477121,0.123852,0.60206,1.454845,2.10721,1.108227,0.30103,1.041393,1.462398,0.477121,2.033424,0.30103,1.30103,2.071882,no
2.877371,1.792392,2.962843,2.947924,2.977266,2.376577,0.69897,0.30103,0.09691,0.60206,1.588272,2.10721,1.20412,1.113943,1.041393,1.491362,0.60206,2.012837,0.477121,1.278754,2.117271,no
2.456366,1.278754,2.599883,2.592177,2.600973,2.30103,0.477121,0,0,0.30103,0.929419,0.954243,0.778151,0.30103,1.041393,1.30103,0.477121,1.792392,0,1.477121,1.755875,no
2.11059,1.491362,2.230449,2.230449,2.230449,2.230449,0.30103,0,0,0.30103,0.90309,0.90309,0.778151,0.845098,1.041393,0.845098,0.30103,1.230449,0.477121,1.041393,1.681241,no
2.025306,0.69897,1.447158,1.278754,1.643453,0.982271,0.778151,0,0,0.477121,2.688598,2.951823,2.017868,1.380211,2.103804,1.278754,0.30103,1.380211,0,0.778151,1.322219,no
2.123852,1.255273,2.287802,2.267172,2.305351,1.709694,0.69897,0.30103,0.09691,0.477121,0.954243,1.041393,0.79588,0.30103,1.041393,1,0.60206,1.176091,0,0.69897,1.342423,no
1.342423,0.30103,1.70757,1.447158,1.770852,0.968016,0.90309,0.477121,0.11059,0.60206,2.646404,2.951823,1.953566,2.149219,2.103804,0.477121,0.30103,0.477121,0,0,0.69897,no
2.103804,0.90309,2.283301,2.217484,2.305351,1.472903,0.90309,0.30103,0.056905,0.477121,2.675127,2.951823,1.982904,2.149219,2.103804,1.230449,0.30103,1.176091,0.30103,0.69897,1.556303,no
1.672098,0.30103,1.934498,1.799341,1.959041,1.141763,0.90309,0.30103,0.056905,0.477121,2.675127,2.951823,1.982904,2.149219,2.103804,1,0.30103,0.778151,0.30103,0.477121,1.079181,no
2.495544,1.380211,2.814913,2.488551,2.928396,1.426023,1.531479,1.146128,0.143015,0.845098,2.012078,2.951823,1.458789,1.30103,1.041393,1.579784,0.477121,1.623249,1.041393,0.90309,1.672098,yes
1.991226,0.30103,2.161368,2.130334,2.187521,1.59384,0.69897,0,0,0.477121,2.299398,2.786751,1.643453,1.826075,1.50515,1.255273,0.477121,0.778151,0.30103,0.954243,1.39794,yes
2.064458,0,2.225309,2.214844,2.25042,1.778151,0.60206,0,0,0.30103,2.405978,2.786751,1.745621,2.017033,2.103804,1.230449,0.477121,1.278754,0.477121,0.90309,1.361728,yes
2.037426,0,2.267172,2.240549,2.292256,1.525045,0.845098,0,0,0.477121,2.138303,2.786751,1.514149,1.462398,1.50515,1.342423,0.477121,0.69897,0.69897,0.845098,1.60206,yes
2.056905,0,2.380211,2.10721,2.498311,1.43409,1.113943,0.30103,0.033424,0.60206,2.471409,2.951823,1.797614,1.690196,1.255273,1.322219,0.477121,1.20412,0.477121,0.90309,1.462398,yes
2.056905,0.30103,2.907949,2.662758,3.159868,1.804685,1.380211,0.60206,0.053078,0.69897,2.24197,2.951823,1.584218,1.826075,1.50515,1.518514,0.30103,0.954243,1,1.079181,1.69897,yes
